design,clock_period_ns,input_delay,output_delay,cell_count,chip_area,wns,tns,setup_violated
mac_unit,7.5,0.8,0.8,413,3485.8432,0.0,0.0,0
mac_unit,7.5,1.0,1.0,413,3485.8432,0.0,0.0,0
mac_unit,7.5,1.2,1.2,413,3485.8432,0.0,0.0,0
mac_unit,7.5,1.5,1.5,413,3485.8432,0.0,0.0,0
mac_unit,7.5,2.0,2.0,413,3485.8432,0.0,0.0,0
mac_unit,7.5,2.5,2.5,413,3485.8432,0.0,0.0,0
mac_unit,8.0,0.2,0.2,413,3485.8432,0.0,0.0,0
mac_unit,8.0,0.4,0.4,413,3485.8432,0.0,0.0,0
mac_unit,8.0,0.6,0.6,413,3485.8432,0.0,0.0,0
mac_unit,8.0,0.8,0.8,413,3485.8432,0.0,0.0,0
mac_unit,8.0,1.0,1.0,413,3485.8432,0.0,0.0,0
mac_unit,8.0,1.2,1.2,413,3485.8432,0.0,0.0,0
mac_unit,8.0,1.5,1.5,413,3485.8432,0.0,0.0,0
mac_unit,8.0,2.0,2.0,413,3485.8432,0.0,0.0,0
mac_unit,8.0,2.5,2.5,413,3485.8432,0.0,0.0,0
mac_unit,8.5,0.2,0.2,413,3485.8432,0.0,0.0,0
mac_unit,8.5,0.4,0.4,413,3485.8432,0.0,0.0,0
mac_unit,8.5,0.6,0.6,413,3485.8432,0.0,0.0,0
mac_unit,8.5,0.8,0.8,413,3485.8432,0.0,0.0,0
mac_unit,8.5,1.0,1.0,413,3485.8432,0.0,0.0,0
mac_unit,8.5,1.2,1.2,413,3485.8432,0.0,0.0,0
mac_unit,8.5,1.5,1.5,413,3485.8432,0.0,0.0,0
mac_unit,8.5,2.0,2.0,413,3485.8432,0.0,0.0,0
mac_unit,8.5,2.5,2.5,413,3485.8432,0.0,0.0,0
mac_unit,9.0,0.2,0.2,413,3485.8432,0.0,0.0,0
mac_unit,9.0,0.4,0.4,413,3485.8432,0.0,0.0,0
mac_unit,9.0,0.6,0.6,413,3485.8432,0.0,0.0,0
mac_unit,9.0,0.8,0.8,413,3485.8432,0.0,0.0,0
mac_unit,9.0,1.0,1.0,413,3485.8432,0.0,0.0,0
mac_unit,9.0,1.2,1.2,413,3485.8432,0.0,0.0,0
mac_unit,9.0,1.5,1.5,413,3485.8432,0.0,0.0,0
mac_unit,9.0,2.0,2.0,413,3485.8432,0.0,0.0,0
mac_unit,9.0,2.5,2.5,413,3485.8432,0.0,0.0,0
mac_unit,9.5,0.2,0.2,413,3485.8432,0.0,0.0,0
mac_unit,9.5,0.4,0.4,413,3485.8432,0.0,0.0,0
mac_unit,9.5,0.6,0.6,413,3485.8432,0.0,0.0,0
mac_unit,9.5,0.8,0.8,413,3485.8432,0.0,0.0,0
mac_unit,9.5,1.0,1.0,413,3485.8432,0.0,0.0,0
mac_unit,9.5,1.2,1.2,413,3485.8432,0.0,0.0,0
mac_unit,9.5,1.5,1.5,413,3485.8432,0.0,0.0,0
mac_unit,9.5,2.0,2.0,413,3485.8432,0.0,0.0,0
mac_unit,9.5,2.5,2.5,413,3485.8432,0.0,0.0,0
mac_unit,10.0,0.2,0.2,413,3485.8432,0.0,0.0,0
mac_unit,10.0,0.4,0.4,413,3485.8432,0.0,0.0,0
mac_unit,10.0,0.6,0.6,413,3485.8432,0.0,0.0,0
mac_unit,10.0,0.8,0.8,413,3485.8432,0.0,0.0,0
mac_unit,10.0,1.0,1.0,413,3485.8432,0.0,0.0,0
mac_unit,10.0,1.2,1.2,413,3485.8432,0.0,0.0,0
mac_unit,10.0,1.5,1.5,413,3485.8432,0.0,0.0,0
mac_unit,10.0,2.0,2.0,413,3485.8432,0.0,0.0,0
mac_unit,10.0,2.5,2.5,413,3485.8432,0.0,0.0,0
mac_unit,10.5,0.2,0.2,413,3485.8432,0.0,0.0,0
mac_unit,10.5,0.4,0.4,413,3485.8432,0.0,0.0,0
mac_unit,10.5,0.6,0.6,413,3485.8432,0.0,0.0,0
mac_unit,10.5,0.8,0.8,413,3485.8432,0.0,0.0,0
mac_unit,10.5,1.0,1.0,413,3485.8432,0.0,0.0,0
mac_unit,10.5,1.2,1.2,413,3485.8432,0.0,0.0,0
mac_unit,10.5,1.5,1.5,413,3485.8432,0.0,0.0,0
mac_unit,10.5,2.0,2.0,413,3485.8432,0.0,0.0,0
mac_unit,10.5,2.5,2.5,413,3485.8432,0.0,0.0,0
mac_unit,11.0,0.2,0.2,413,3485.8432,0.0,0.0,0
mac_unit,11.0,0.4,0.4,413,3485.8432,0.0,0.0,0
mac_unit,11.0,0.6,0.6,413,3485.8432,0.0,0.0,0
mac_unit,11.0,0.8,0.8,413,3485.8432,0.0,0.0,0
mac_unit,11.0,1.0,1.0,413,3485.8432,0.0,0.0,0
mac_unit,11.0,1.2,1.2,413,3485.8432,0.0,0.0,0
mac_unit,11.0,1.5,1.5,413,3485.8432,0.0,0.0,0
mac_unit,11.0,2.0,2.0,413,3485.8432,0.0,0.0,0
mac_unit,11.0,2.5,2.5,413,3485.8432,0.0,0.0,0
mac_unit,11.5,0.2,0.2,413,3485.8432,0.0,0.0,0
mac_unit,11.5,0.4,0.4,413,3485.8432,0.0,0.0,0
mac_unit,11.5,0.6,0.6,413,3485.8432,0.0,0.0,0
mac_unit,11.5,0.8,0.8,413,3485.8432,0.0,0.0,0
mac_unit,11.5,1.0,1.0,413,3485.8432,0.0,0.0,0
mac_unit,11.5,1.2,1.2,413,3485.8432,0.0,0.0,0
mac_unit,11.5,1.5,1.5,413,3485.8432,0.0,0.0,0
mac_unit,11.5,2.0,2.0,413,3485.8432,0.0,0.0,0
mac_unit,11.5,2.5,2.5,413,3485.8432,0.0,0.0,0
mac_unit,12.0,0.2,0.2,413,3485.8432,0.0,0.0,0
mac_unit,12.0,0.4,0.4,413,3485.8432,0.0,0.0,0
mac_unit,12.0,0.6,0.6,413,3485.8432,0.0,0.0,0
mac_unit,12.0,0.8,0.8,413,3485.8432,0.0,0.0,0
mac_unit,12.0,1.0,1.0,413,3485.8432,0.0,0.0,0
mac_unit,12.0,1.2,1.2,413,3485.8432,0.0,0.0,0
mac_unit,12.0,1.5,1.5,413,3485.8432,0.0,0.0,0
mac_unit,12.0,2.0,2.0,413,3485.8432,0.0,0.0,0
mac_unit,12.0,2.5,2.5,413,3485.8432,0.0,0.0,0
mac_unit,12.5,0.2,0.2,413,3485.8432,0.0,0.0,0
mac_unit,12.5,0.4,0.4,413,3485.8432,0.0,0.0,0
mac_unit,12.5,0.6,0.6,413,3485.8432,0.0,0.0,0
mac_unit,12.5,0.8,0.8,413,3485.8432,0.0,0.0,0
mac_unit,12.5,1.0,1.0,413,3485.8432,0.0,0.0,0
mac_unit,12.5,1.2,1.2,413,3485.8432,0.0,0.0,0
mac_unit,12.5,1.5,1.5,413,3485.8432,0.0,0.0,0
mac_unit,12.5,2.0,2.0,413,3485.8432,0.0,0.0,0
mac_unit,12.5,2.5,2.5,413,3485.8432,0.0,0.0,0
alu_8bit,3.0,0.2,0.2,132,912.124800,0.00,0.00,0
alu_8bit,3.0,0.5,0.5,132,912.124800,0.00,0.00,0
alu_8bit,3.0,1.0,1.0,132,912.124800,-0.49,-0.57,1
alu_8bit,3.0,1.5,1.5,132,912.124800,-0.99,-1.98,1
alu_8bit,3.0,2.0,2.0,132,912.124800,-1.49,-4.35,1
alu_8bit,3.5,0.2,0.2,132,912.124800,0.00,0.00,0
alu_8bit,3.5,0.5,0.5,132,912.124800,0.00,0.00,0
alu_8bit,3.5,1.0,1.0,132,912.124800,0.00,0.00,0
alu_8bit,3.5,1.5,1.5,132,912.124800,-0.49,-0.57,1
alu_8bit,3.5,2.0,2.0,132,912.124800,-0.99,-1.98,1
alu_8bit,4.0,0.2,0.2,132,912.124800,0.00,0.00,0
alu_8bit,4.0,0.5,0.5,132,912.124800,0.00,0.00,0
alu_8bit,4.0,1.0,1.0,132,912.124800,0.00,0.00,0
alu_8bit,4.0,1.5,1.5,132,912.124800,0.00,0.00,0
alu_8bit,4.0,2.0,2.0,132,912.124800,-0.49,-0.57,1
alu_8bit,4.5,0.2,0.2,132,912.124800,0.00,0.00,0
alu_8bit,4.5,0.5,0.5,132,912.124800,0.00,0.00,0
alu_8bit,4.5,1.0,1.0,132,912.124800,0.00,0.00,0
alu_8bit,4.5,1.5,1.5,132,912.124800,0.00,0.00,0
alu_8bit,4.5,2.0,2.0,132,912.124800,0.00,0.00,0
alu_8bit,5.0,0.2,0.2,132,912.124800,0.00,0.00,0
alu_8bit,5.0,0.5,0.5,132,912.124800,0.00,0.00,0
alu_8bit,5.0,1.0,1.0,132,912.124800,0.00,0.00,0
alu_8bit,5.0,1.5,1.5,132,912.124800,0.00,0.00,0
alu_8bit,5.0,2.0,2.0,132,912.124800,0.00,0.00,0
alu_8bit,5.5,0.2,0.2,132,912.124800,0.00,0.00,0
alu_8bit,5.5,0.5,0.5,132,912.124800,0.00,0.00,0
alu_8bit,5.5,1.0,1.0,132,912.124800,0.00,0.00,0
alu_8bit,5.5,1.5,1.5,132,912.124800,0.00,0.00,0
alu_8bit,5.5,2.0,2.0,132,912.124800,0.00,0.00,0
alu_8bit,6.0,0.2,0.2,132,912.124800,0.00,0.00,0
alu_8bit,6.0,0.5,0.5,132,912.124800,0.00,0.00,0
alu_8bit,6.0,1.0,1.0,132,912.124800,0.00,0.00,0
alu_8bit,6.0,1.5,1.5,132,912.124800,0.00,0.00,0
alu_8bit,6.0,2.0,2.0,132,912.124800,0.00,0.00,0
alu_8bit,6.5,0.2,0.2,132,912.124800,0.00,0.00,0
alu_8bit,6.5,0.5,0.5,132,912.124800,0.00,0.00,0
alu_8bit,6.5,1.0,1.0,132,912.124800,0.00,0.00,0
alu_8bit,6.5,1.5,1.5,132,912.124800,0.00,0.00,0
alu_8bit,6.5,2.0,2.0,132,912.124800,0.00,0.00,0
alu_8bit,7.0,0.2,0.2,132,912.124800,0.00,0.00,0
alu_8bit,7.0,0.5,0.5,132,912.124800,0.00,0.00,0
alu_8bit,7.0,1.0,1.0,132,912.124800,0.00,0.00,0
alu_8bit,7.0,1.5,1.5,132,912.124800,0.00,0.00,0
alu_8bit,7.0,2.0,2.0,132,912.124800,0.00,0.00,0
alu_8bit,7.5,0.2,0.2,132,912.124800,0.00,0.00,0
alu_8bit,7.5,0.5,0.5,132,912.124800,0.00,0.00,0
alu_8bit,7.5,1.0,1.0,132,912.124800,0.00,0.00,0
alu_8bit,7.5,1.5,1.5,132,912.124800,0.00,0.00,0
